jobName,jobLink,feedBack,comLink,comName,salary,place,releaseDate,detail
http://jobs.zhaopin.com/27422033190250004000.htm,后端（运维方向）,,http://company.zhaopin.com/CC274220331.htm,南京雪糕网络科技有限公司,6001-8000,南京,15天前,地点：南京公司性质：民营公司规模：20-99人经验：3-5年学历：大专职位月薪：6001-8000元/月 一、职位描述： 1.负责移动游戏后端应用日常维护和应用优化； 2.负责移动游戏后端的发布，包括环境配置.部署.故障处理及版本管理； 3.负责移动游戏后端的监控.备份.冗灾和安全保障； 4.负责突发事件管理.问题跟踪与管理，分析原因并改进优化系统； 5.参与公司运维管理系统开发工作； 6.参与移动游...
http://jobs.zhaopin.com/404560010250132.htm,高级软件工程师（南京业恒达智能系统股份有限公司）,,http://special.zhaopin.com/pagepublish/40456001/index.html,中煤科工集团南京设计研究院有限公司,8001-10000,南京,15天前,地点：南京公司性质：国企公司规模：500-999人学历：本科职位月薪：8001-10000元/月 ◇任职要求：     1、计算机或相关专业本科以上     2、有java或python相关开发经验，熟悉python web框架和MySQL数据库     3、熟悉Linux，有大规模集群研发经验者优先，了解智能制造者优先     4、良好的学习能力和团队沟通能力，工作积极主动，有强烈的责任心 ...
http://jobs.zhaopin.com/404560010250131.htm,JAVA/Python高级软件工程师(南京业恒达智能系统股份有限公司）,,http://special.zhaopin.com/pagepublish/40456001/index.html,中煤科工集团南京设计研究院有限公司,8001-10000,南京,15天前,地点：南京公司性质：国企公司规模：500-999人学历：本科职位月薪：8001-10000元/月 ◇任职要求：     1、计算机或软件工程相关专业本科以上          2、相关java或python开发经验，熟悉python web框架和MySQL数据库     3、熟悉Linux，有大规模集群研发经验者优先，了解智能制造者优先     4、良好的学习能力和团队沟通能力，...
http://jobs.zhaopin.com/262808611250077.htm,[石家庄深度动画]3D影视动画绑定师,,http://company.zhaopin.com/%E7%9F%B3%E5%AE%B6%E5%BA%84%E5%B8%82%E6%B7%B1%E5%BA%A6%E5%8A%A8%E7%94%BB%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC262808611.htm,石家庄市深度动画科技有限公司,6000-9000,南京,15天前,地点：南京公司性质：民营公司规模：20-99人经验：3-5年学历：不限职位月薪：6000-9000元/月 岗位职责：       1、   与模型及动画部门协同合作，完成相关的动画需要角色或机械的绑定工作       。         2、有一定mel，Python语言能力，可以开发一些简单的脚本工具   及为团队设计相关说明文档    。     3、负责研发并改善工具及流程以提高动画工作流程的效...
http://jobs.zhaopin.com/604671222250089.htm,python 爬虫工程师,,http://company.zhaopin.com/CC604671222.htm,江苏普非信息科技有限公司,4001-6000,南京,15天前,"地点：南京公司性质：民营公司规模：20-99人学历：大专职位月薪：4001-6000元/月 任职职责   公司爬虫系统的设计及开发，负责指定网站的数据爬取，并按规定入库。    负责公司爬虫的日常维护     任职资格：  熟悉linux开发环境，掌握python语言及常用库  熟悉MySQL、Redis等数据库  熟悉app抓包  掌握网页抓取原理和相关技术，熟悉正则表达式,xpath..."
http://jobs.zhaopin.com/132566819250855.htm,C++软件开发高级工程师,100%,http://company.zhaopin.com/P2/CC1325/6681/CC132566819.htm,中兴软件技术（南昌）有限公司,4000-8000,南京-雨花台区,15天前,地点：南京-雨花台区公司性质：合资公司规模：1000-9999人经验：1-3年学历：本科职位月薪：4000-8000元/月 1.计算机、通讯、软件等相关专业，大专及以上学历。 2.精通C、C++等常用开发软件编程，精通Linux下C/C++语言开发； 3.熟悉ARM架构，BSP，熟悉基于QT界面程序的开发； 4.熟悉Linux网络编程和多线程编程； 5.熟练掌握Shell脚本开发，至少了解Python、PHP、Perl...
http://jobs.zhaopin.com/CZ779183280J00036019601.htm,前端开发工程师,98%,http://company.zhaopin.com/CZ779183280.htm,南京语真科技有限公司,5000-8000,南京,15天前,地点：南京公司性质：民营公司规模：20人以下学历：不限职位月薪：5000-8000元/月 岗位要求：     熟练掌握各种Web前端技术（HTML/CSS/Javascript等)；     熟悉至少一种常用的JS开发框架，熟悉Python或PHP语言者更佳；     熟练使用各种前端分析和调试工具；     好奇心强，能够在前端性能提升、用户体验优化等方面持续探索研究；     具备...
http://jobs.zhaopin.com/244549436250355.htm,软件开发实习生,,http://company.zhaopin.com/CC244549436.htm,江苏原力电脑动画制作有限公司,2001-4000,南京-建邺区,15天前,地点：南京-建邺区公司性质：民营公司规模：500-999人学历：本科职位月薪：2001-4000元/月 岗位职责：  1、  规划、开发、维护项目制作流程及软件；  2、  优化现有流程及工具；  3、  针对不同项目需要开发流程及工具；     职位要求：  1、软件开发相关专业，熟悉Python或者C/C++;  2、有较强的学习及抗压能力；  3、有一定的英语基础，可以看懂英文文档；  4、有...
http://jobs.zhaopin.com/244549436250361.htm,数据管理员,,http://company.zhaopin.com/CC244549436.htm,江苏原力电脑动画制作有限公司,4001-6000,南京-建邺区,15天前,地点：南京-建邺区公司性质：民营公司规模：500-999人经验：1-3年学历：大专职位月薪：4001-6000元/月 岗位职责：  1、备份存储系统数据到带库，并建立相应的数据备份策略，追踪磁带分配情况  2、和生产团队沟通，决定公司存储系统的空间管理。  3、根据项目的要求，定期删除文件来保证足够的空间。  4、根据项目的要求，项目结束时永久存档和移除文件  5、根据生产的要求，还原相关的项目  6、对磁带分配...
http://jobs.zhaopin.com/371992513250020.htm,Python,,http://company.zhaopin.com/CC371992513.htm,无锡华路时代信息技术有限公司,6000-10000,南京,15天前,地点：南京公司性质：上市公司公司规模：100-499人学历：不限职位月薪：6000-10000元/月 1，2年以上Python开发经验；  2，熟悉常用linux命令，熟悉常用的Shell命令；  3，有扎实的计算机基础，较强的软件架构和算法理解能力；  4，有良好的编码习惯和开发文档书写习惯；  5，有良好的沟通交流能力，能够迅速融入团队；  6，有较强的学习欲望和钻研能力、良好的...
http://jobs.zhaopin.com/57023882790250117000.htm,运维工程师,57%,http://special.zhaopin.com/pagepublish/57023882/index.html,南京金贝网络科技有限公司,6000-12000,南京-建邺区,15天前,"地点：南京-建邺区公司性质：民营公司规模：20-99人学历：不限职位月薪：6000-12000元/月 职位描述：    1、运维平台开发：监控系统、代码发布系统、批量管理系统、资产配置管理等开发；  2、负责nginx.tomcat.redis.mysql,redis等应用软件的部署、配置、调优、安全检查、升级工作；  3、运维平台开发、运营工具、自动化脚本开发工作。        职位要求：  ..."
http://jobs.zhaopin.com/171774417251924.htm,智能终端--AI/人工智能工程师（初级）,,http://company.zhaopin.com/P2/CC1717/7441/CC171774417.htm,江苏润和软件股份有限公司,6001-8000,南京,15天前,地点：南京公司性质：民营公司规模：1000-9999人经验：1-3年学历：本科职位月薪：6001-8000元/月 岗位职责： 1.参与代码的书写，解决项目开发过程中的问题； 2.完成机器学习/深度学习/人工智能相关算法仿真、训练和性能评估； 岗位要求： 1.掌握机器学习/深度学习等相关知识，有该领域算法的研究或开发经验； 2.熟悉深度神经网络的常用模型（CNN、RBN、RCNN、DNN等），并能够将其应用特定...
http://jobs.zhaopin.com/000542945274619.htm,自动化测试工程师,73%,http://company.zhaopin.com/CC000542945.htm,"华为技术有限公司</a> <a href=""javascript:void(0);"" target=""_blank"" style=""vertical-align: top;""><img src=""/assets/images/best.png"" border=""0"" align=""absmiddle"">",面议,南京-雨花台区,15天前,地点：南京-雨花台区公司性质：民营公司规模：10000人以上经验：3-5年学历：本科 岗位职责：  1、基于用户场景，负责差旅类业务的测试工作；  2、基于接口设计和用户需求，编写与实现测试用例自动化；  3、在测试工作，发现软件交流过程中的问题，反向推动软件交付效率提升；     岗位要求：  1、211、985院校本科以上学历；  2、必须具有2年以上Python开发</...
http://jobs.zhaopin.com/684348321250022.htm,中级JAVA开发工程师,,http://company.zhaopin.com/CC684348321.htm,智器云南京信息科技有限公司,10001-15000,南京,15天前,地点：南京公司性质：民营公司规模：20-99人经验：1-3年学历：本科职位月薪：10001-15000元/月 岗位职责;: 1、参与软件产品的需求讨论和分析、功能模块设计； 2、参与软件产品模块的编码实现，完成自测； 3、负责软件产品模块的缺陷修复和后期维护； 4、参与代码评审，持续改进代码质量； 5、根据实际项目需要，进行驻场开发。  任职要求： 1、计算机类或相关专业本科及以上学历； 2、两年以上扎实...
http://jobs.zhaopin.com/555683329250031.htm,架构师,,http://company.zhaopin.com/CC555683329.htm,南京智行信息科技有限公司,15001-20000,南京-雨花台区,15天前,地点：南京-雨花台区公司性质：民营公司规模：20-99人经验：5-10年学历：本科职位月薪：15001-20000元/月 任职要求：  1、有5年以上工作经验，作为项目经理或架构师管理开发过大中型应用系统；  2、熟练掌握CMMI、ISO等相关规范；  3、精通J2EE、.NET架构，掌握Java、C#、PHP、Python等开发语言与工具；  4、对物联网和云计算技术有一定了解，有相关工作经验者优先。     薪资...
http://jobs.zhaopin.com/688947920250086.htm,openStack研发工程师（Python）,75%,http://company.zhaopin.com/CC688947920.htm,北京云途腾科技有限责任公司,15000-25000,南京,15天前,地点：南京公司性质：民营公司规模：100-499人学历：本科职位月薪：15000-25000元/月 岗位职责：  1、负责openStack云产品的设计，文档编写；  2、负责openStack云产品的功能开发和维护；  任职要求：  1、 本科及以上学历，较扎实的算法和数据结构功底，1～3年左右python开发经验，熟悉Restful、sqlalchemy、wsgi、django...
http://jobs.zhaopin.com/144116808252202.htm,中高级运维工程师-研发中心,,http://special.zhaopin.com/pagepublish/14411680/index.html,南京欣网互联网络科技有限公司,8001-10000,南京-鼓楼区,15天前,地点：南京-鼓楼区公司性质：民营公司规模：500-999人经验：3-5年学历：大专职位月薪：8001-10000元/月 工作职责：  1) 负责公司运维项目的系统升级、扩容需求与资源落实，配合开发需求，测试、调整运维平台；  2) 系统及应用的部署、维护和优化；业务应用的发布；  3) 维护数据库，包括数据库性能优化、数据库安全和数据库日常工作；  4) 负责并部署相关应用平台，并提出平台的实施、运行报告；  5)...
http://jobs.zhaopin.com/132566819250850.htm,C/C++开发工程师,93%,http://company.zhaopin.com/P2/CC1325/6681/CC132566819.htm,中兴软件技术（南昌）有限公司,4000-8000,南京-雨花台区,15天前,地点：南京-雨花台区公司性质：合资公司规模：1000-9999人经验：1-3年学历：大专职位月薪：4000-8000元/月 1.计算机、通讯、软件等相关专业，大专及以上学历。 2.精通C、C++等常用开发软件编程，精通Linux下C/C++语言开发； 3.熟悉ARM架构，BSP，熟悉基于QT界面程序的开发； 4.熟悉Linux网络编程和多线程编程； 5.熟练掌握Shell脚本开发，至少了解Python、PHP、Perl...
http://jobs.zhaopin.com/120229299250123.htm,java开发工程师,,http://company.zhaopin.com/P10/CC1202/2929/CC120229299.htm,北京宝亮网智电子信息技术有限公司,15001-20000,南京,15天前,地点：南京公司性质：外商独资公司规模：100-499人经验：1-3年学历：本科职位月薪：15001-20000元/月 任职要求：  1、    计算机及相关专业，本科及以上学历；  2、    5年以上的Java开发经验，2个以上Java中型项目开发经验，具有一定的系统架构设计能力；  3、    对运维自动化有一定了解；  4、    熟悉Spring、Hibernate等常用框架；  5、    熟练掌握Aj...
http://jobs.zhaopin.com/581495223250556.htm,Python后端工程师,63%,http://company.zhaopin.com/CC581495223.htm,南京价公信息技术有限公司,9000-18000,南京-玄武区,15天前,地点：南京-玄武区公司性质：民营公司规模：20-99人经验：1-3年学历：本科职位月薪：9000-18000元/月 职位描述： 1、承担web后端的技术工作，开发和维护公平价网站，主要编程语言是python 2、参与需求分析，产品设计，功能开发； 3、负责系统平台的日常维护； 4、与团队技术交流，共同进步  职位要求： 1、有扎实的编程功底，热爱编程，精通至少一门开发语言，愿意深入学习Python； 2、熟悉M...
http://jobs.zhaopin.com/120093289250042.htm,高级软件开发工程师,,http://company.zhaopin.com/P9/CC1200/9328/CC120093289.htm,富迪科技(南京)有限公司,4001-6000,南京,15天前,地点：南京公司性质：外商独资公司规模：20-99人经验：1-3年学历：本科职位月薪：4001-6000元/月...python开发语言，了解lua等脚本语言；  具有良好的系统分析和设计能力，掌握面向对象软件分析、设计方法；   具有良好的沟通能力和良好的团队合作精神。
